"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","location_standardized"
10,1,"University of Oxford",98.5,10,96.8,5,100,1,98.8,8,99.6,67,97.3,21,"master_account",0,"/world-university-rankings/university-oxford",468,"United Kingdom",22095,10.8,"43%","51 : 49","University of Oxford","Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Law,Accounting & Finance,Chemical Engineering,Archaeology,Communication & Media Studies,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Geography,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Business & Management,Chemistry,Medicine & Dentistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Sociology",FALSE,FALSE,FALSE,"united kingdom"
20,2,"Massachusetts Institute of Technology",98.1,20,99.2,1,96,11,99.7,1,100,14,93.8,70,"private",0,"/world-university-rankings/massachusetts-institute-technology",471,"United States",11836,8,"33%","42 : 58","Massachusetts Institute of Technology","Biological Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Architecture,General Engineering,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management",FALSE,FALSE,FALSE,"united states of america"
30,3,"Harvard University",97.7,30,97.3,4,99.9,2,99.3,3,85.7,242,90.1,132,"private",0,"/world-university-rankings/harvard-university",466,"United States",22584,10,"25%","52 : 48","Harvard University","Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Psychology,Other Health,Chemistry,Economics & Econometrics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Geography,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Architecture,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry",FALSE,FALSE,FALSE,"united states of america"
40,4,"Princeton University",97.5,40,98.3,2,98,6,98.9,7,96.9,111,87.4,173,"private",0,"/world-university-rankings/princeton-university",469,"United States",8378,7.8,"23%","47 : 53","Princeton University","Chemistry,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Other Health,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Architecture,Civil Engineering,Psychology",FALSE,FALSE,FALSE,"united states of america"
50,5,"University of Cambridge",97.4,50,95.9,6,99.9,3,97.6,17,88.4,207,97.1,24,"master_account",0,"/world-university-rankings/university-cambridge",470,"United Kingdom",20980,11.5,"38%","49 : 51","University of Cambridge","History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Electrical & Electronic Engineering,Architecture,Psychology,Veterinary Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Civil Engineering,Sociology,Business & Management,Chemical Engineering,Art, Performing Arts & Design,Education",FALSE,FALSE,FALSE,"united kingdom"
60,6,"Stanford University",97.2,60,97.5,3,97.3,9,99.6,2,100,23,85.1,206,"private",0,"/world-university-rankings/stanford-university",467,"United States",16963,5.9,"23%","47 : 53","Stanford University","Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Other Health,Computer Science,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Physics & Astronomy,Law,Economics & Econometrics,Chemistry",FALSE,FALSE,FALSE,"united states of america"
70,7,"California Institute of Technology",96.3,70,95.2,8,97.5,8,97.3,21,100,1,89.7,137,"private",0,"/world-university-rankings/california-institute-technology-caltech",128779,"United States",2397,6.4,"32%","38 : 62","California Institute of Technology caltech","Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Civil Engineering",FALSE,FALSE,FALSE,"united states of america"
80,8,"University of California, Berkeley",94.5,80,87.2,15,98.9,4,99,5,99.5,72,86.4,188,"public",0,"/world-university-rankings/university-california-berkeley",474,"United States",42423,18.7,"25%","52 : 48","University of California, Berkeley","Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Art, Performing Arts & Design,Geography,General Engineering,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Chemistry,Law,Psychology,Business & Management,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology",FALSE,FALSE,FALSE,"united states of america"
90,9,"Imperial College London",94.4,90,89.3,12,94.9,13,98.5,9,90.8,180,98.3,7,"master_account",0,"/world-university-rankings/imperial-college-london",472,"United Kingdom",21000,12.1,"60%","43 : 57","Imperial College London","Computer Science,Business & Management,Chemical Engineering,Accounting & Finance,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering",FALSE,FALSE,FALSE,"united kingdom"
100,10,"Yale University",94.1,100,93.7,11,95,12,97.8,16,86.5,231,82.3,243,"private",0,"/world-university-rankings/yale-university",475,"United States",14401,6.2,"22%","53 : 47","Yale University","Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Agriculture & Forestry,Psychology,Mathematics & Statistics,Law,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Chemical Engineering,Business & Management,Chemistry,Architecture,Biological Sciences,Economics & Econometrics",FALSE,FALSE,FALSE,"united states of america"
110,11,"ETH Zurich",93,110,87.3,14,97.2,10,95.1,46,84,265,95.3,44,"master_account",0,"/world-university-rankings/eth-zurich",479,"Switzerland",22883,15.8,"44%","33 : 67","ETH Zurich","Electrical & Electronic Engineering,Education,Civil Engineering,Business & Management,Chemical Engineering,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Economics & Econometrics,Chemistry,Other Health,Mathematics & Statistics,Sport Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Biological Sciences,Architecture,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance",FALSE,FALSE,FALSE,"switzerland"
120,12,"Tsinghua University",92.5,120,95.4,7,98.4,5,93.5,60,100,29,49.8,872,"master_account",0,"/world-university-rankings/tsinghua-university",535,"China",38289,11,"9%",NA,"Tsinghua University Qinghua University Tsing hua University Qing hua University","Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Economics & Econometrics,Architecture,Mechanical & Aerospace Engineering,Geography,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Education,Other Health,Communication & Media Studies,Chemical Engineering,Sociology,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Languages, Literature & Linguistics,Archaeology,Mathematics & Statistics,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Chemistry,History, Philosophy & Theology,Biological Sciences,Law",FALSE,FALSE,FALSE,"china"
130,13,"Peking University",92,130,94.9,9,97.7,7,88.2,158,99.9,41,70.1,436,"master_account",0,"/world-university-rankings/peking-university",514,"China",34981,11.5,"15%",NA,"Peking University","Chemistry,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Law,Accounting & Finance,Art, Performing Arts & Design,Economics & Econometrics,Mathematics & Statistics,Psychology,Computer Science,Geography,Business & Management,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Other Health,Archaeology,Sociology,Electrical & Electronic Engineering,Biological Sciences,Education,Medicine & Dentistry,Communication & Media Studies,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"china"
160,16,"Johns Hopkins University",90.7,160,83.7,22,91.3,18,97.3,22,100,8,83.6,219,"private",0,"/world-university-rankings/johns-hopkins-university",478,"United States",21735,5.8,"32%","55 : 45","Johns Hopkins University","Mathematics & Statistics,Economics & Econometrics,Civil Engineering,General Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Education,Archaeology,Business & Management,Accounting & Finance,Computer Science,History, Philosophy & Theology,Psychology,Chemistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Other Health,Art, Performing Arts & Design,Chemical Engineering",FALSE,FALSE,FALSE,"united states of america"
170,17,"National University of Singapore",89.9,170,78.4,24,93.6,15,95.7,41,100,17,91.9,107,"master_account",6,"/world-university-rankings/national-university-singapore",504,"Singapore",34388,21,"26%","49 : 51","National University of Singapore nus","Computer Science,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Chemical Engineering,Geography,Medicine & Dentistry,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Biological Sciences,Law,Other Health,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Civil Engineering,Sociology,Archaeology,Agriculture & Forestry,Business & Management",FALSE,FALSE,FALSE,"singapore"
200,20,"Cornell University",89.2,200,83.2,23,91.1,19,96.8,29,69.5,496,85.5,196,"private",0,"/world-university-rankings/cornell-university",484,"United States",25528,10.5,"26%","52 : 48","Cornell University","History, Philosophy & Theology,Archaeology,Veterinary Science,Agriculture & Forestry,Law,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Computer Science,General Engineering,Chemistry,Economics & Econometrics,Physics & Astronomy,Business & Management,Psychology,Other Health",FALSE,FALSE,FALSE,"united states of america"
210,21,"University of Toronto",88.3,210,76.2,28,93.5,16,93.4,62,94.9,135,91.8,112,"master_account",0,"/world-university-rankings/university-toronto",483,"Canada",80107,25.2,"29%","56 : 44","University of Toronto","Art, Performing Arts & Design,Accounting & Finance,Archaeology,Communication & Media Studies,Sport Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Other Health,Computer Science,Architecture,Psychology,Mathematics & Statistics,General Engineering,Chemistry,Economics & Econometrics,Law,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Agriculture & Forestry,Education,Geography,Business & Management,Sociology,Electrical & Electronic Engineering,Medicine & Dentistry,Civil Engineering,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"canada"
240,24,"Carnegie Mellon University",85.7,240,73.1,34,85.1,26,99,4,85.4,246,84.2,214,"private",0,"/world-university-rankings/carnegie-mellon-university",485,"United States",15312,13.1,"46%","44 : 56","Carnegie Mellon University","Biological Sciences,Economics & Econometrics,Civil Engineering,Business & Management,Architecture,Communication & Media Studies,Art, Performing Arts & Design,Computer Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology,Chemical Engineering,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry",FALSE,FALSE,FALSE,"united states of america"
250,25,"University of Washington",83.8,250,74.6,29,81.3,28,98,12,84.7,255,72.1,402,"public",0,"/world-university-rankings/university-washington",489,"United States",49647,10,"16%","57 : 43","University of Washington","Languages, Literature & Linguistics,Civil Engineering,Geography,Electrical & Electronic Engineering,Mathematics & Statistics,General Engineering,Chemical Engineering,Accounting & Finance,Architecture,Physics & Astronomy,Computer Science,Chemistry,Psychology,History, Philosophy & Theology,Art, Performing Arts & Design,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Agriculture & Forestry,Communication & Media Studies,Archaeology,Biological Sciences,Sociology,Mechanical & Aerospace Engineering,Sport Science,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Economics & Econometrics",FALSE,FALSE,FALSE,"united states of america"
260,26,"Technical University of Munich",83.5,260,70.4,42,86,25,91.7,93,100,24,83.1,228,"master_account",6,"/world-university-rankings/technical-university-munich",552,"Germany",34907,41.8,"43%","35 : 65","Technical University of Munich","Medicine & Dentistry,Politics & International Studies (incl Development Studies),General Engineering,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sport Science,Mathematics & Statistics,Architecture,Physics & Astronomy,Civil Engineering,Business & Management,Agriculture & Forestry,Education,Chemical Engineering,Computer Science,Sociology,Mechanical & Aerospace Engineering",FALSE,FALSE,FALSE,"germany"
270,27,"Duke University",83.4,270,77.7,26,75.6,43,96.2,34,100,5,75.5,345,"private",0,"/world-university-rankings/duke-university",487,"United States",17180,4.3,"22%","54 : 46","Duke University","Computer Science,Physics & Astronomy,Agriculture & Forestry,Law,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Geography,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Other Health,Chemistry,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Art, Performing Arts & Design,Civil Engineering,Psychology,History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,"united states of america"
280,28,"The University of Tokyo",83.3,280,94.1,10,94.2,14,68.3,627,100,26,50.4,852,"master_account",0,"/world-university-rankings/university-tokyo",494,"Japan",26438,10.4,"17%",NA,"The University of Tokyo","Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Psychology,Computer Science,Biological Sciences,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Law,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Chemistry,Architecture,Civil Engineering,Sport Science,Education,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Archaeology,Agriculture & Forestry,Sociology",FALSE,FALSE,FALSE,"japan"
290,29,"University of Edinburgh",82.5,290,72.2,37,77.1,33,95.7,42,72.2,439,96.6,28,"master_account",0,"/world-university-rankings/university-edinburgh",500,"United Kingdom",37035,12.2,"49%","62 : 38","University of Edinburgh","History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Archaeology,Art, Performing Arts & Design,Biological Sciences,Business & Management,Medicine & Dentistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,General Engineering,Law,Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Physics & Astronomy,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Accounting & Finance,Education,Other Health,Veterinary Science,Sport Science,Geography",FALSE,FALSE,FALSE,"united kingdom"
300,30,"Nanyang Technological University, Singapore",81.8,300,65.8,51,79.3,30,94.5,54,99.9,39,94.1,65,"master_account",6,"/world-university-rankings/nanyang-technological-university-singapore",634,"Singapore",26044,17.1,"29%","48 : 52","Nanyang Technological University, Singapore NTU Nan yang","Psychology,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,General Engineering,History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Accounting & Finance,Mathematics & Statistics,Sport Science,Medicine & Dentistry,Chemistry,Sociology,Civil Engineering,Art, Performing Arts & Design,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Education",FALSE,FALSE,FALSE,"singapore"
310,31,"Northwestern University",81.4,310,71.8,40,75.8,41,97.8,14,92.3,165,69.4,446,"private",0,"/world-university-rankings/northwestern-university",490,"United States",19922,8,"20%","53 : 47","Northwestern University","Education,Computer Science,Biological Sciences,Psychology,Archaeology,Physics & Astronomy,History, Philosophy & Theology,Art, Performing Arts & Design,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Accounting & Finance,Chemistry,Chemical Engineering,Mathematics & Statistics,Geography,Sociology,Civil Engineering,Other Health,Electrical & Electronic Engineering,Sport Science,Law,Politics & International Studies (incl Development Studies),General Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,"united states of america"
320,32,"École Polytechnique Fédérale de Lausanne",80.4,320,73.6,33,72.4,50,88.5,150,100,6,95.3,43,"master_account",0,"/world-university-rankings/ecole-polytechnique-federale-de-lausanne",510,"Switzerland",12432,12.5,"64%","30 : 70","École Polytechnique Fédérale de Lausanne","Sport Science,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Accounting & Finance,Civil Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Architecture,Mathematics & Statistics,General Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management",FALSE,FALSE,FALSE,"switzerland"
330,33,"New York University",80.3,330,72,38,76.8,34,94.3,55,71.7,448,75.3,352,"private",0,"/world-university-rankings/new-york-university",508,"United States",49423,7.4,"45%","59 : 41","New York University","Psychology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Law,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Architecture,History, Philosophy & Theology,Electrical & Electronic Engineering,Computer Science,Biological Sciences,Economics & Econometrics,Chemical Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,General Engineering,Business & Management,Mathematics & Statistics,Other Health,Languages, Literature & Linguistics,Accounting & Finance,Sociology,Physics & Astronomy,Mechanical & Aerospace Engineering",FALSE,FALSE,FALSE,"united states of america"
340,34,"University of California, San Diego",79.9,340,64.9,56,75.8,42,97.4,20,100,31,73.9,370,"public",0,"/world-university-rankings/university-california-san-diego",497,"United States",39993,11,"21%","49 : 51","University of California, San Diego","Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Education,Communication & Media Studies,General Engineering,Mechanical & Aerospace Engineering,Computer Science,Psychology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Chemistry,Other Health,Biological Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Civil Engineering,Sociology,Economics & Econometrics,Mathematics & Statistics",FALSE,FALSE,FALSE,"united states of america"
350,35,"University of Hong Kong",79.6,350,65,55,70.5,53,96.1,36,96.3,121,97.4,20,"master_account",0,"/world-university-rankings/university-hong-kong",498,"Hong Kong",18010,18.4,"45%","55 : 45","University of Hong Kong","Physics & Astronomy,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Accounting & Finance,Civil Engineering,Communication & Media Studies,Law,History, Philosophy & Theology,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,General Engineering,Economics & Econometrics,Art, Performing Arts & Design,Sociology,Geography,Agriculture & Forestry,Medicine & Dentistry,Architecture",FALSE,FALSE,FALSE,"hong kong"
380,38,"LMU Munich",78.7,380,65.2,54,76.5,37,91.7,92,100,13,76.4,326,"master_account",6,"/world-university-rankings/lmu-munich",509,"Germany",34235,33,"18%","61 : 39","LMU Munich Ludwig-Maximilians-Universität München","Biological Sciences,Art, Performing Arts & Design,Psychology,Communication & Media Studies,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Other Health,Law,Sociology,Education,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Veterinary Science,History, Philosophy & Theology,Geography,Physics & Astronomy,Economics & Econometrics,Archaeology,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,"germany"
390,39,"University of Melbourne",78.4,390,64.2,58,75.3,44,89.1,132,99.3,79,92.3,95,"master_account",0,"/world-university-rankings/university-melbourne",501,"Australia",50303,23.6,"48%","58 : 42","University of Melbourne UniMelb Australia","Communication & Media Studies,Medicine & Dentistry,Computer Science,Economics & Econometrics,Civil Engineering,Physics & Astronomy,History, Philosophy & Theology,Architecture,Chemical Engineering,Accounting & Finance,Sociology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Archaeology,Mathematics & Statistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Veterinary Science,Geography,Languages, Literature & Linguistics,Law,Education,Sport Science,Electrical & Electronic Engineering,Chemistry,Psychology,General Engineering,Business & Management",FALSE,FALSE,FALSE,"australia"
400,40,"Georgia Institute of Technology",78.3,400,60,72,77.7,32,92.9,72,99.2,81,83.4,220,"public",0,"/world-university-rankings/georgia-institute-technology",488,"United States",34116,31.4,"31%","34 : 66","Georgia Institute of Technology","Chemistry,General Engineering,Biological Sciences,Mathematics & Statistics,Sociology,Other Health,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Agriculture & Forestry,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Geography,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Psychology,Business & Management,Architecture,Civil Engineering,Chemical Engineering,Communication & Media Studies,Physics & Astronomy,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"united states of america"
410,41,"University of British Columbia",77.8,410,62.3,64,76.7,35,89.7,120,79.8,325,94.3,62,"master_account",0,"/world-university-rankings/university-british-columbia",486,"Canada",59931,19.3,"34%","56 : 44","University of British Columbia","Accounting & Finance,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Other Health,Medicine & Dentistry,Sociology,Computer Science,Art, Performing Arts & Design,Education,Mathematics & Statistics,Economics & Econometrics,Law,Chemical Engineering,Biological Sciences,Languages, Literature & Linguistics,Sport Science,Politics & International Studies (incl Development Studies),Architecture,General Engineering,Business & Management,Psychology,Physics & Astronomy,Geography,Agriculture & Forestry,Archaeology,Electrical & Electronic Engineering,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Chemistry",FALSE,FALSE,FALSE,"canada"
420,42,"Paris Sciences et Lettres – PSL Research University Paris",77.7,420,74.4,30,72.8,49,82,283,99.4,76,80.4,270,"master_account",0,"/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris",615804,"France",16016,14.9,"21%","50 : 50","Paris Sciences et Lettres – PSL Research University Paris","History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Geography,Archaeology,Physics & Astronomy,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Sociology,Civil Engineering,Law,Other Health,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies",FALSE,FALSE,FALSE,"france"
430,43,"KU Leuven",77,430,59.5,76,74.9,45,92.4,81,100,11,80.6,268,"master_account",11,"/world-university-rankings/ku-leuven",531,"Belgium",50447,37.5,"20%","52 : 48","KU Leuven","Art, Performing Arts & Design,Chemical Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Architecture,Sport Science,Education,Archaeology,Biological Sciences,Psychology,History, Philosophy & Theology,Agriculture & Forestry,Law,Computer Science,Chemistry,Economics & Econometrics,Civil Engineering,Sociology,Geography",FALSE,FALSE,FALSE,"belgium"
